Index,Stimulus,Direction,Congruency,Emotion,IsPractice,IsCorrect,ResponseTime(s)
377,<<<<<,Left,Congruent,Negative,False,False,0.002
378,>>>>>,Right,Congruent,Negative,False,False,0.002
379,<<<<<,Left,Congruent,Negative,False,False,0.002
380,<<<<<,Left,Congruent,Negative,False,False,0.002
381,>><>>,Left,Incongruent,Neutral,False,False,0.002
382,>>>>>,Right,Congruent,Neutral,False,False,0.002
383,>>>>>,Right,Congruent,Negative,False,False,0.002
384,>><>>,Left,Incongruent,Negative,False,False,0.002
385,>>>>>,Right,Congruent,Neutral,False,False,0.002
386,<<><<,Right,Incongruent,Negative,False,False,0.002
387,<<><<,Right,Incongruent,Negative,False,False,0.002
388,<<><<,Right,Incongruent,Neutral,False,False,0.002
389,<<<<<,Left,Congruent,Neutral,False,False,0.002
390,<<<<<,Left,Congruent,Neutral,False,False,0.002
391,<<><<,Right,Incongruent,Neutral,False,False,0.002
392,>><>>,Left,Incongruent,Neutral,False,False,0.002
393,>><>>,Left,Incongruent,Negative,False,False,0.002
394,<<<<<,Left,Congruent,Neutral,False,False,0.002
395,<<<<<,Left,Congruent,Negative,False,False,0.002
396,<<<<<,Left,Congruent,Negative,False,False,0.002
397,>><>>,Left,Incongruent,Neutral,False,False,0.002
398,>><>>,Left,Incongruent,Neutral,False,False,0.002
399,<<<<<,Left,Congruent,Neutral,False,False,0.002
400,>><>>,Left,Incongruent,Negative,False,False,0.002
401,<<><<,Right,Incongruent,Neutral,False,False,0.002
402,>><>>,Left,Incongruent,Negative,False,False,0.002
403,<<><<,Right,Incongruent,Neutral,False,False,0.002
404,>><>>,Left,Incongruent,Neutral,False,False,0.002
405,>><>>,Left,Incongruent,Negative,False,False,0.002
406,<<><<,Right,Incongruent,Negative,False,False,0.002
407,>>>>>,Right,Congruent,Neutral,False,False,0.002
408,>>>>>,Right,Congruent,Neutral,False,False,0.002
409,>>>>>,Right,Congruent,Negative,False,False,0.002
410,<<><<,Right,Incongruent,Negative,False,False,0.002
411,<<<<<,Left,Congruent,Neutral,False,False,0.002
412,<<<<<,Left,Congruent,Neutral,False,False,0.002
413,<<><<,Right,Incongruent,Negative,False,False,0.002
414,<<><<,Right,Incongruent,Negative,False,False,0.002
415,>><>>,Left,Incongruent,Neutral,False,False,0.002

總題數 (Total),416
正確題數 (Correct),7
正確率 (Accuracy),1.68%
平均反應時間 (AvgRT - Correct),0.000
正式測驗 (Test Phase) 統計:,
Count,384
Accuracy,1.82%
AvgRT,0.000
