Index,Type,IsNegative,IsCorrect,ResponseTime(s)
270,StarsArray,False,False,0.010
271,StarsArray,True,False,0.010
272,Congruent,False,False,0.010
273,Incongruent,True,False,0.010
274,StarsArray,False,False,0.010
275,StarsArray,False,False,0.010
276,StarsArray,True,False,0.010
277,StarsArray,False,False,0.010
278,Congruent,True,False,0.010
279,Incongruent,False,False,0.010
280,Congruent,True,False,0.010
281,Congruent,True,False,0.010
282,Congruent,False,False,0.010
283,Incongruent,True,False,0.010
284,Incongruent,False,False,0.010
285,StarsArray,True,False,0.010
286,StarsArray,False,False,0.010
287,StarsArray,True,False,0.010
288,StarsArray,True,False,0.010
289,StarsArray,True,False,0.010
290,Congruent,False,False,0.010
291,Congruent,False,False,0.010
292,StarsArray,True,False,0.010
293,Incongruent,False,False,0.010
294,StarsArray,False,False,0.010
295,StarsArray,False,False,0.010
296,Incongruent,False,False,0.010
297,StarsArray,False,False,0.010
298,Congruent,True,False,0.010
299,StarsArray,True,False,0.010
300,StarsArray,True,False,0.010
301,StarsArray,False,False,0.010
302,StarsArray,False,False,0.010
303,Incongruent,True,False,0.010
304,StarsArray,True,False,0.010
305,StarsArray,True,False,0.010
306,StarsArray,False,False,0.010
307,StarsArray,False,False,0.010
308,StarsArray,False,False,0.010
309,StarsArray,False,False,0.010
310,StarsArray,False,False,0.010
311,StarsArray,True,False,0.010
312,StarsArray,True,False,0.010
313,StarsArray,False,False,0.010
314,Congruent,True,False,0.010
315,StarsArray,False,False,0.010
316,StarsArray,True,False,0.010
317,StarsArray,False,False,0.010
318,Congruent,True,False,0.010
319,StarsArray,False,False,0.010
320,Congruent,True,False,0.010
321,StarsArray,True,False,0.010
322,Congruent,True,False,0.010
323,Congruent,True,False,0.010
324,Congruent,False,False,0.010
325,StarsArray,True,False,0.010
326,StarsArray,True,False,0.010
327,Congruent,False,False,0.010
328,Incongruent,True,False,0.010
329,StarsArray,False,False,0.010
330,StarsArray,True,False,0.010
331,StarsArray,False,False,0.010
332,StarsArray,False,False,0.010
333,StarsArray,True,False,0.010
334,StarsArray,False,False,0.010
335,Incongruent,False,False,0.010
336,StarsArray,True,False,0.010
337,Incongruent,False,False,0.010
338,StarsArray,False,False,0.010
339,StarsArray,False,False,0.010
340,StarsArray,False,False,0.010
341,StarsArray,True,False,0.010
342,StarsArray,True,False,0.010
343,StarsArray,True,False,0.010
344,Congruent,True,False,0.010
345,Congruent,False,False,0.010
346,Incongruent,True,False,0.010
347,StarsArray,False,False,0.010
348,Incongruent,True,False,0.010
349,Incongruent,True,False,0.010
350,StarsArray,True,False,0.010
351,Congruent,True,False,0.010
352,StarsArray,False,False,0.010
353,StarsArray,True,False,0.010
354,StarsArray,True,False,0.010
355,StarsArray,False,False,0.010
356,StarsArray,False,False,0.010
357,StarsArray,True,False,0.010
358,StarsArray,False,False,0.010
359,StarsArray,True,False,0.010
360,Congruent,False,False,0.010
361,StarsArray,False,False,0.010
362,StarsArray,False,False,0.010
363,Congruent,False,False,0.010
364,Congruent,False,False,0.010
365,Incongruent,True,False,0.010
366,Incongruent,False,False,0.010
367,Incongruent,False,False,0.010
368,StarsArray,False,False,0.010
369,StarsArray,False,False,0.010
370,Incongruent,False,False,0.010
371,StarsArray,False,False,0.010
372,StarsArray,True,False,0.010
373,Incongruent,False,False,0.010
374,Congruent,True,False,0.010
375,StarsArray,True,False,0.010
376,StarsArray,False,False,0.010
377,StarsArray,True,False,0.010
378,Congruent,False,False,0.010
379,StarsArray,False,False,0.010
380,StarsArray,False,False,0.010
381,Incongruent,False,False,0.010
382,Incongruent,False,False,0.010
383,StarsArray,True,False,0.010
384,StarsArray,True,False,0.010
385,Congruent,True,False,0.010
386,StarsArray,False,False,0.010
387,Congruent,False,False,0.010
388,StarsArray,True,False,0.010
389,StarsArray,False,False,0.010
390,StarsArray,False,False,0.010
391,StarsArray,False,False,0.010
392,StarsArray,False,False,0.010
393,Incongruent,True,False,0.010
394,Incongruent,True,False,0.010
395,Incongruent,False,False,0.010
396,StarsArray,True,False,0.010
397,StarsArray,True,False,0.010
398,StarsArray,True,False,0.010
399,Congruent,True,False,0.010
400,StarsArray,True,False,0.010
401,StarsArray,False,False,0.010
402,StarsArray,True,False,0.010
403,StarsArray,False,False,0.010
404,Incongruent,True,False,0.010
405,StarsArray,True,False,0.010
406,StarsArray,True,False,0.010
407,StarsArray,True,False,0.010
408,StarsArray,True,False,0.010
409,StarsArray,True,False,0.010
410,Incongruent,True,False,0.010
411,Incongruent,False,False,0.010
412,Incongruent,True,False,0.010
413,StarsArray,True,False,0.010
414,Incongruent,True,False,0.010
415,StarsArray,False,False,0.010
416,StarsArray,True,False,0.010
417,Congruent,True,False,0.010
418,StarsArray,True,False,0.010
419,StarsArray,False,False,0.010
420,StarsArray,False,False,0.010
421,Congruent,False,False,0.010
422,StarsArray,True,False,0.010
423,StarsArray,True,False,0.010
424,StarsArray,False,False,0.010
425,StarsArray,False,False,0.010
426,StarsArray,True,False,0.010
427,StarsArray,False,False,0.010
428,Congruent,False,False,0.010
429,StarsArray,True,False,0.010
430,StarsArray,True,False,0.010
431,StarsArray,False,False,0.010
432,StarsArray,True,False,0.010
433,StarsArray,True,False,0.010
434,Congruent,True,False,0.010
435,Incongruent,False,False,0.010
436,Congruent,True,False,0.010
437,Congruent,True,False,0.010
438,StarsArray,True,False,0.010
439,Congruent,False,False,0.010
440,StarsArray,True,False,0.010
441,StarsArray,True,False,0.010
442,StarsArray,True,False,0.010
443,Congruent,False,False,0.010
